parliamentary_constituency_name,All Premises,All Matched Premises,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Full Fibre availability,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Full Fibre availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA
ABERAVON,33018,33012,7715,24470,23,35,46,723,32185,24470,23,58,104,827,512,158,32681,6273,4659,23.4,74.1,0.1,0.1,0.1,2.2,23.4,74.1,0.1,0.2,0.3,2.5,1.6,0.5,99.0,19.0,14.1
ABERCONWY,30142,30121,26054,1777,182,427,369,1312,27831,1777,182,609,978,2290,1777,1098,29229,14667,11492,86.4,5.9,0.6,1.4,1.2,4.4,86.4,5.9,0.6,2.0,3.2,7.6,5.9,3.6,97.0,48.7,38.1
ABERDEEN NORTH,56487,56402,42398,11228,0,5,373,2398,53626,11228,0,5,378,2776,4512,505,54637,0,0,75.1,19.9,0.0,0.0,0.7,4.2,75.1,19.9,0.0,0.0,0.7,4.9,8.0,0.9,96.7,0.0,0.0
ABERDEEN SOUTH,52955,52926,35804,13499,19,80,97,3427,49303,13499,19,99,196,3623,11714,256,51358,0,0,67.6,25.5,0.0,0.2,0.2,6.5,67.6,25.5,0.0,0.2,0.4,6.8,22.1,0.5,97.0,0.0,0.0
AIRDRIE AND SHOTTS,41042,41039,15089,24636,22,110,177,1005,39725,24636,22,132,309,1314,478,333,40764,0,0,36.8,60.0,0.1,0.3,0.4,2.4,36.8,60.0,0.1,0.3,0.8,3.2,1.2,0.8,99.3,0.0,0.0
ALDERSHOT,46951,46931,7945,37814,41,283,256,592,45759,37814,41,324,580,1172,1368,621,45915,0,0,16.9,80.5,0.1,0.6,0.5,1.3,16.9,80.5,0.1,0.7,1.2,2.5,2.9,1.3,97.8,0.0,0.0
ALDRIDGE-BROWNHILLS,34640,34638,8679,25640,4,6,24,285,34319,25640,4,10,34,319,5928,40,34575,0,0,25.1,74.0,0.0,0.0,0.1,0.8,25.1,74.0,0.0,0.0,0.1,0.9,17.1,0.1,99.8,0.0,0.0
ALTRINCHAM AND SALE WEST,44893,44798,15798,27380,48,311,57,1204,43178,27380,48,359,416,1620,515,569,44220,560,0,35.2,61.0,0.1,0.7,0.1,2.7,35.2,61.0,0.1,0.8,0.9,3.6,1.1,1.3,98.5,1.2,0.0
ALYN AND DEESIDE,39692,39669,31445,5631,120,191,385,1897,37076,5631,120,311,696,2593,3290,741,38979,12017,911,79.2,14.2,0.3,0.5,1.0,4.8,79.2,14.2,0.3,0.8,1.8,6.5,8.3,1.9,98.2,30.3,2.3
AMBER VALLEY,43520,43471,29427,11373,50,144,341,2136,40800,11373,50,194,535,2671,11263,593,43013,0,0,67.6,26.1,0.1,0.3,0.8,4.9,67.6,26.1,0.1,0.4,1.2,6.1,25.9,1.4,98.8,0.0,0.0
ANGUS,46379,46065,38796,583,721,1242,1653,3070,39379,583,721,1963,3616,6686,583,4055,43494,0,0,83.6,1.3,1.6,2.7,3.6,6.6,83.6,1.3,1.6,4.2,7.8,14.4,1.3,8.7,93.8,0.0,0.0
ARFON,29670,29644,23148,4119,128,225,357,1667,27267,4119,128,353,710,2377,3569,764,28551,7733,2825,78.0,13.9,0.4,0.8,1.2,5.6,78.0,13.9,0.4,1.2,2.4,8.0,12.0,2.6,96.2,26.1,9.5
ARGYLL AND BUTE,56131,54748,42294,488,1876,1702,2935,5453,42782,488,1876,3578,6513,11966,487,8213,49017,0,0,75.3,0.9,3.3,3.0,5.2,9.7,75.3,0.9,3.3,6.4,11.6,21.3,0.9,14.6,87.3,0.0,0.0
ARUNDEL AND SOUTH DOWNS,48462,48406,41087,2583,200,408,624,3504,43670,2583,200,608,1232,4736,2290,1323,47726,0,0,84.8,5.3,0.4,0.8,1.3,7.2,84.8,5.3,0.4,1.3,2.5,9.8,4.7,2.7,98.5,0.0,0.0
ASHFIELD,50082,50064,7096,42129,10,215,51,563,49225,42129,10,225,276,839,564,294,49624,0,0,14.2,84.1,0.0,0.4,0.1,1.1,14.2,84.1,0.0,0.4,0.6,1.7,1.1,0.6,99.1,0.0,0.0
ASHFORD,55373,55332,25061,25030,189,755,1001,3296,50091,25030,189,944,1945,5241,2831,2066,54570,0,0,45.3,45.2,0.3,1.4,1.8,6.0,45.3,45.2,0.3,1.7,3.5,9.5,5.1,3.7,98.5,0.0,0.0
ASHTON-UNDER-LYNE,47746,47663,14067,33046,1,8,33,508,47113,33046,1,9,42,550,12494,125,47451,0,0,29.5,69.2,0.0,0.0,0.1,1.1,29.5,69.2,0.0,0.0,0.1,1.2,26.2,0.3,99.4,0.0,0.0
AYLESBURY,53441,53429,19658,31571,35,232,311,1622,51229,31571,35,267,578,2200,3914,611,52757,0,0,36.8,59.1,0.1,0.4,0.6,3.0,36.8,59.1,0.1,0.5,1.1,4.1,7.3,1.1,98.7,0.0,0.0
"AYR, CARRICK AND CUMNOCK",47970,47886,27072,17497,304,606,672,1735,44569,17497,304,910,1582,3317,324,1757,46766,0,0,56.4,36.5,0.6,1.3,1.4,3.6,56.4,36.5,0.6,1.9,3.3,6.9,0.7,3.7,97.5,0.0,0.0
BANBURY,58356,58313,38721,16405,131,87,432,2537,55126,16405,131,218,650,3187,4430,744,56968,0,0,66.4,28.1,0.2,0.1,0.7,4.3,66.4,28.1,0.2,0.4,1.1,5.5,7.6,1.3,97.6,0.0,0.0
BANFF AND BUCHAN,46438,46199,37969,845,1081,1498,1631,3175,38814,845,1081,2579,4210,7385,845,4605,43832,0,0,81.8,1.8,2.3,3.2,3.5,6.8,81.8,1.8,2.3,5.6,9.1,15.9,1.8,9.9,94.4,0.0,0.0
BARKING,53351,53342,5450,47339,1,82,58,412,52789,47339,1,83,141,553,23731,177,52794,0,0,10.2,88.7,0.0,0.2,0.1,0.8,10.2,88.7,0.0,0.2,0.3,1.0,44.5,0.3,99.0,0.0,0.0
BARNSLEY CENTRAL,44546,44531,10877,33139,0,41,57,417,44016,33139,0,41,98,515,896,138,44312,0,0,24.4,74.4,0.0,0.1,0.1,0.9,24.4,74.4,0.0,0.1,0.2,1.2,2.0,0.3,99.5,0.0,0.0
BARNSLEY EAST,44198,44192,16417,27030,14,41,29,661,43447,27030,14,55,84,745,15146,123,43938,0,0,37.1,61.2,0.0,0.1,0.1,1.5,37.1,61.2,0.0,0.1,0.2,1.7,34.3,0.3,99.4,0.0,0.0
BARROW AND FURNESS,45993,45953,44190,375,125,108,163,992,44565,375,125,233,396,1388,375,445,45859,1164,367,96.1,0.8,0.3,0.2,0.4,2.2,96.1,0.8,0.3,0.5,0.9,3.0,0.8,1.0,99.7,2.5,0.8
BASILDON AND BILLERICAY,43540,43515,14310,26918,13,162,425,1687,41228,26918,13,175,600,2287,6888,654,42966,0,0,32.9,61.8,0.0,0.4,1.0,3.9,32.9,61.8,0.0,0.4,1.4,5.3,15.8,1.5,98.7,0.0,0.0
BASINGSTOKE,52127,52122,21579,29959,0,86,177,321,51538,29959,0,86,263,584,8705,307,51858,0,0,41.4,57.5,0.0,0.2,0.3,0.6,41.4,57.5,0.0,0.2,0.5,1.1,16.7,0.6,99.5,0.0,0.0
BASSETLAW,50994,50928,33452,15200,207,139,178,1752,48652,15200,207,346,524,2276,1935,605,50687,3628,2656,65.6,29.8,0.4,0.3,0.3,3.4,65.6,29.8,0.4,0.7,1.0,4.5,3.8,1.2,99.4,7.1,5.2
BATH,45382,45363,15802,27538,0,1,174,1848,43340,27538,0,1,175,2023,11109,337,43952,0,0,34.8,60.7,0.0,0.0,0.4,4.1,34.8,60.7,0.0,0.0,0.4,4.5,24.5,0.7,96.8,0.0,0.0
BATLEY AND SPEN,49439,49430,15418,32598,1,24,91,1298,48016,32598,1,25,116,1414,11501,289,48765,165,0,31.2,65.9,0.0,0.0,0.2,2.6,31.2,65.9,0.0,0.1,0.2,2.9,23.3,0.6,98.6,0.3,0.0
BATTERSEA,61511,61314,5792,54160,0,0,18,1344,59952,54160,0,0,18,1362,17829,326,59954,0,0,9.4,88.0,0.0,0.0,0.0,2.2,9.4,88.0,0.0,0.0,0.0,2.2,29.0,0.5,97.5,0.0,0.0
BEACONSFIELD,46600,46593,27997,14485,32,180,652,3247,42482,14485,32,212,864,4111,4437,976,45670,0,0,60.1,31.1,0.1,0.4,1.4,7.0,60.1,31.1,0.1,0.5,1.9,8.8,9.5,2.1,98.0,0.0,0.0
BECKENHAM,40695,40691,8275,31942,2,3,23,446,40217,31942,2,5,28,474,395,32,40404,0,0,20.3,78.5,0.0,0.0,0.1,1.1,20.3,78.5,0.0,0.0,0.1,1.2,1.0,0.1,99.3,0.0,0.0
BEDFORD,49853,49848,4803,44336,25,66,49,569,49139,44336,25,91,140,709,2996,286,49308,0,0,9.6,88.9,0.1,0.1,0.1,1.1,9.6,88.9,0.1,0.2,0.3,1.4,6.0,0.6,98.9,0.0,0.0
BELFAST EAST,47236,47080,3920,41921,8,100,134,997,45841,41921,8,108,242,1239,18159,532,46093,0,0,8.3,88.7,0.0,0.2,0.3,2.1,8.3,88.7,0.0,0.2,0.5,2.6,38.4,1.1,97.6,0.0,0.0
BELFAST NORTH,52429,52234,3383,47943,15,25,328,540,51326,47943,15,40,368,908,26640,671,51405,0,0,6.5,91.4,0.0,0.0,0.6,1.0,6.5,91.4,0.0,0.1,0.7,1.7,50.8,1.3,98.0,0.0,0.0
BELFAST SOUTH,57114,56840,5931,49412,0,28,161,1308,55343,49412,0,28,189,1497,19647,594,55427,0,0,10.4,86.5,0.0,0.0,0.3,2.3,10.4,86.5,0.0,0.0,0.3,2.6,34.4,1.0,97.0,0.0,0.0
BELFAST WEST,41553,41380,4461,36452,14,35,20,398,40913,36452,14,49,69,467,15175,255,41022,0,0,10.7,87.7,0.0,0.1,0.0,1.0,10.7,87.7,0.0,0.1,0.2,1.1,36.5,0.6,98.7,0.0,0.0
BERMONDSEY AND OLD SOUTHWARK,75799,75545,17706,49144,1,8,324,8362,66850,49144,1,9,333,8695,35153,1014,67047,0,0,23.4,64.8,0.0,0.0,0.4,11.0,23.4,64.8,0.0,0.0,0.4,11.5,46.4,1.3,88.5,0.0,0.0
"BERWICKSHIRE, ROXBURGH AND SELKIRK",51173,50762,41038,2349,930,1425,1856,3164,43387,2349,930,2355,4211,7375,1846,4886,48520,8945,382,80.2,4.6,1.8,2.8,3.6,6.2,80.2,4.6,1.8,4.6,8.2,14.4,3.6,9.5,94.8,17.5,0.7
BERWICK-UPON-TWEED,38671,38592,31468,2319,574,758,861,2612,33787,2319,574,1332,2193,4805,2318,2398,36964,5338,90,81.4,6.0,1.5,2.0,2.2,6.8,81.4,6.0,1.5,3.4,5.7,12.4,6.0,6.2,95.6,13.8,0.2
BETHNAL GREEN AND BOW,65865,65362,20880,36305,0,0,257,7920,57185,36305,0,0,257,8177,12667,861,57204,0,0,31.7,55.1,0.0,0.0,0.4,12.0,31.7,55.1,0.0,0.0,0.4,12.4,19.2,1.3,86.9,0.0,0.0
BEVERLEY AND HOLDERNESS,48617,48200,20197,26028,219,242,365,1149,46225,26028,219,461,826,1975,26027,1375,47273,14043,11959,41.5,53.5,0.5,0.5,0.8,2.4,41.5,53.5,0.5,0.9,1.7,4.1,53.5,2.8,97.2,28.9,24.6
BEXHILL AND BATTLE,52145,52021,45903,2245,61,163,536,3113,48148,2245,61,224,760,3873,2245,896,51795,0,0,88.0,4.3,0.1,0.3,1.0,6.0,88.0,4.3,0.1,0.4,1.5,7.4,4.3,1.7,99.3,0.0,0.0
BEXLEYHEATH AND CRAYFORD,39169,39156,3261,34295,0,9,356,1235,37556,34295,0,9,365,1600,8284,902,37673,0,0,8.3,87.6,0.0,0.0,0.9,3.2,8.3,87.6,0.0,0.0,0.9,4.1,21.1,2.3,96.2,0.0,0.0
BIRKENHEAD,46522,46501,14256,31978,0,4,11,252,46234,31978,0,4,15,267,343,36,46407,0,0,30.6,68.7,0.0,0.0,0.0,0.5,30.6,68.7,0.0,0.0,0.0,0.6,0.7,0.1,99.8,0.0,0.0
"BIRMINGHAM, EDGBASTON",45364,45356,9917,32376,17,139,962,1945,42293,32376,17,156,1118,3063,912,1305,42306,0,0,21.9,71.4,0.0,0.3,2.1,4.3,21.9,71.4,0.0,0.3,2.5,6.8,2.0,2.9,93.3,0.0,0.0
