Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,FTTP,Total,Households,"  16,200 ","  17,600 ","  17,600 ","  29,681 ","  41,033 ","  68,689 ","  174,923 ","  309,472 ","  503,257 ","  861,948 ","  1,204,619 "
Belgium,Cable modem DOCSIS 3.0,Total,Households,"  4,253,029 ","  4,493,648 ","  4,544,650 ","  4,573,441 ","  4,597,896 ","  4,612,272 ","  4,579,470 ","  4,449,356 ","  4,813,397 ","  4,805,618 ","  4,623,869 "
Belgium,Cable modem DOCSIS 3.1,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  3,214,604 ","  3,127,023 ","  3,376,849 ","  3,735,614 ","  4,595,495 "
Belgium,FWA,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,  - ,"  4,875,111 ","  5,012,288 ","  4,809,305 "
Belgium,LTE,Total,Households,"  2,106,163 ","  3,276,844 ","  4,151,984 ","  4,870,636 ","  4,895,973 ","  4,913,553 ","  4,899,403 ","  4,751,934 ","  4,989,764 ","  5,022,036 ",#N/A
Belgium,Average LTE coverage,Total,Households,#N/A,#N/A,#N/A,"  4,607,174 ","  4,728,477 ","  4,896,065 ","  4,884,215 ","  4,750,352 ","  4,988,101 ",#N/A,#N/A
Belgium,5G,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  210,471 ","  211,877 ","  1,487,960 ","  1,944,383 "
Belgium,5G in the 3.4–3.8 GHz band,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  278,900 ","  686,317 "
Belgium,Satellite,Total,Households,"  4,622,858 ","  4,831,880 ","  4,850,213 ","  4,873,781 ","  4,896,587 ","  4,914,168 ","  4,899,404 ","  4,751,936 ","  4,989,764 ","  5,022,036 ","  4,818,475 "
Belgium,Overall broadband coverage,Total,Households,"  4,620,082 ","  4,828,546 ","  4,846,575 ","  4,873,326 ","  4,896,113 ","  4,913,688 ",#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,DOCSIS 3.0 & FTTP coverage,Total,Households,#N/A,#N/A,#N/A,#N/A,"  4,483,799 ","  4,646,617 ",#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Cable modem,Total,Households,"  4,262,275 ","  4,493,648 ","  4,544,650 ","  4,573,441 ","  4,597,896 ","  4,655,937 ",#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,WiMAX,Total,Households,"  700,363 ","  728,207 ","  726,465 ","  722,988 ","  728,696 ","  728,725 ",#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,HSPA,Total,Households,"  4,569,044 ","  4,727,552 ","  4,747,991 ","  4,872,374 ","  4,895,084 ","  4,912,750 ",#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Land area,Total,km squared,"  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 ","  110,898 "
Bulgaria,Population,Total,###,"  7,284,552 ","  7,245,677 ","  7,202,198 ","  7,202,198 ","  7,101,859 ","  7,050,034 ","  7,050,034 ","  7,000,039 ","  6,916,548 ","  6,838,937 ","  6,447,710 "
Bulgaria,Households,Total,###,"  3,005,589 ","  3,005,589 ","  3,005,289 ","  2,971,692 ","  2,959,108 ","  2,930,380 ","  2,877,314 ","  2,888,188 ","  2,881,895 ","  2,849,557 ","  2,803,352 "
Bulgaria,Broadband coverage (>2Mbps),Total,Households,"  2,767,240 ","  2,848,725 ","  2,850,842 ","  2,819,863 ","  2,811,153 ","  2,792,669 ","  2,741,910 ","  2,762,177 ",#N/A,#N/A,#N/A
Bulgaria,Broadband coverage (>30Mbps),Total,Households,"  1,859,910 ","  1,999,787 ","  2,055,396 ","  2,119,145 ","  2,205,927 ","  2,199,039 ","  2,295,950 ","  2,530,698 ","  2,654,273 ","  2,675,530 ","  2,667,244 "
