Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Belgium,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,91.6%,94.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,Cable modem,Total,% of Households,92.2%,93.0%,93.7%,93.8%,93.9%,94.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,WiMAX,Total,% of Households,15.2%,15.1%,15.0%,14.8%,14.9%,14.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,HSPA,Total,% of Households,98.8%,97.8%,97.9%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,Land area,Total,km squared,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,11089800.0%,
Bulgaria,Population,Total,###,728455200.0%,724567700.0%,720219800.0%,720219800.0%,710185900.0%,705003400.0%,705003400.0%,700003900.0%,691654800.0%,683893700.0%,644771000.0%,
Bulgaria,Households,Total,###,300558900.0%,300558900.0%,300528900.0%,297169167.3%,295910791.7%,293038016.3%,287731438.7%,288818799.9%,288189500.0%,284955708.3%,280335217.4%,
Bulgaria,Broadband coverage (>2Mbps),Total,% of Households,92.1%,94.8%,94.9%,94.9%,95.0%,95.3%,95.3%,95.6%,#N/A,#N/A,#N/A,
Bulgaria,Broadband coverage (>30Mbps),Total,% of Households,61.9%,66.5%,68.4%,71.3%,74.5%,75.0%,79.8%,87.6%,92.1%,93.9%,95.1%,
Bulgaria,Broadband coverage (>100Mbps),Total,% of Households,2.0%,15.1%,15.7%,18.6%,30.7%,49.0%,68.0%,80.9%,89.4%,91.9%,93.6%,
Bulgaria,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.5%,8.6%,16.3%,21.4%,28.4%,
