Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Sweden,Cable modem DOCSIS 3.0,Total,% of Households,34.3%,34.0%,34.0%,36.2%,36.8%,36.0%,35.7%,37.3%,35.8%,33.4%,33.5%,
Sweden,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3%,0.3%,0.4%,0.3%,26.5%,
Sweden,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2%,0.2%,0.4%,0.5%,0.6%,
Sweden,LTE,Total,% of Households,99.2%,99.2%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,
Sweden,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,95.5%,95.7%,96.0%,96.8%,99.6%,98.1%,#N/A,#N/A,
Sweden,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.6%,17.7%,20.5%,90.3%,
Sweden,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.7%,64.5%,
Sweden,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Sweden,Overall broadband coverage,Total,% of Households,99.8%,99.5%,99.5%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Sweden,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,73.3%,78.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Sweden,Cable modem,Total,% of Households,39.3%,38.8%,38.8%,37.9%,38.5%,37.5%,#N/A,#N/A,#N/A,#N/A,#N/A,
Sweden,WiMAX,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Sweden,HSPA,Total,% of Households,99.7%,99.1%,99.1%,99.9%,99.9%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,Land area,Total,km squared,4118253.4%,4118253.4%,4118253.4%,4118253.4%,4118253.4%,4128450.0%,4128450.0%,4128450.0%,4128450.0%,4128450.0%,4128450.0%,
Switzerland,Population,Total,###,795466200.0%,803906000.0%,813963100.0%,823384200.0%,823384200.0%,841955000.0%,848413000.0%,854452700.0%,860603300.0%,867030000.0%,873879100.0%,
Switzerland,Households,Total,###,355371100.0%,357145300.8%,361592744.9%,365750576.6%,363135100.0%,373978753.3%,375732416.0%,379491278.2%,395494141.2%,398381431.6%,401427216.8%,
Switzerland,Broadband coverage (>2Mbps),Total,% of Households,99.8%,99.8%,99.8%,99.8%,99.8%,99.7%,99.8%,99.9%,#N/A,#N/A,#N/A,
Switzerland,Broadband coverage (>30Mbps),Total,% of Households,97.8%,98.7%,98.9%,98.9%,98.9%,98.9%,99.8%,99.8%,99.8%,99.8%,99.8%,
Switzerland,Broadband coverage (>100Mbps),Total,% of Households,97.4%,98.3%,98.4%,98.5%,98.5%,98.5%,98.6%,98.6%,98.6%,98.6%,98.6%,
Switzerland,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.3%,62.9%,63.7%,65.6%,68.3%,
Switzerland,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32.7%,33.2%,33.2%,
Switzerland,Fixed broadband coverage,Total,% of Households,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.9%,99.9%,99.9%,99.9%,
Switzerland,NGA coverage,Total,% of Households,97.9%,98.8%,98.9%,99.0%,99.0%,99.0%,99.0%,99.0%,98.9%,98.4%,99.0%,
Switzerland,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.4%,85.9%,86.6%,86.8%,89.3%,
Switzerland,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,DSL,Total,% of Households,99.4%,99.4%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,
Switzerland,VDSL,Total,% of Households,72.3%,79.7%,81.5%,88.0%,90.0%,90.0%,90.5%,90.9%,93.2%,94.8%,96.4%,
Switzerland,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.2%,87.3%,90.7%,92.7%,94.9%,
Switzerland,FTTP,Total,% of Households,21.1%,25.9%,27.0%,28.6%,29.5%,30.3%,34.9%,39.7%,40.2%,43.1%,45.8%,
Switzerland,Cable modem DOCSIS 3.0,Total,% of Households,82.9%,83.9%,84.1%,84.3%,84.3%,84.3%,84.4%,84.3%,85.2%,85.2%,85.8%,
Switzerland,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.7%,76.5%,77.3%,77.4%,81.0%,
Switzerland,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Switzerland,LTE,Total,% of Households,67.7%,91.8%,92.3%,98.3%,99.8%,99.9%,99.9%,99.9%,100.0%,99.9%,#N/A,
Switzerland,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,95.6%,98.6%,98.6%,98.6%,98.9%,99.7%,#N/A,#N/A,
Switzerland,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,89.2%,94.6%,96.8%,98.5%,
Switzerland,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.3%,84.5%,
Switzerland,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Switzerland,Overall broadband coverage,Total,% of Households,99.9%,99.9%,99.9%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,88.2%,88.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,Cable modem,Total,% of Households,83.7%,83.9%,84.1%,84.3%,84.3%,84.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,WiMAX,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Switzerland,HSPA,Total,% of Households,98.8%,99.0%,99.4%,99.5%,99.8%,99.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,Land area,Total,km squared,24851400.0%,24851400.0%,24851400.0%,24851400.0%,24851010.0%,24771588.6%,24771588.6%,24771588.6%,24771588.6%,24771588.6%,24771588.6%,
United Kingdom,Population,Total,###,6325614400.0%,6390529700.0%,6390529700.0%,6464146100.0%,6508653600.0%,6580857300.0%,6580857300.0%,6664711200.0%,6658930605.7%,6697847500.0%,6671486705.7%,
United Kingdom,Households,Total,###,2635673400.0%,2778491173.9%,2778491173.9%,2810498304.3%,2829849391.3%,3117797133.3%,3117797133.3%,3157650040.0%,2919635180.7%,2969938746.7%,2956218075.1%,
United Kingdom,Broadband coverage (>2Mbps),Total,% of Households,98.4%,98.9%,98.9%,98.9%,99.1%,99.2%,99.2%,99.2%,#N/A,#N/A,#N/A,
United Kingdom,Broadband coverage (>30Mbps),Total,% of Households,79.1%,85.7%,87.9%,89.0%,91.8%,93.0%,94.8%,94.8%,95.0%,95.8%,97.2%,
United Kingdom,Broadband coverage (>100Mbps),Total,% of Households,47.7%,47.7%,47.9%,46.0%,47.0%,48.0%,57.0%,59.0%,63.2%,69.8%,77.1%,
United Kingdom,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,21.0%,38.7%,66.6%,75.1%,
United Kingdom,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,Fixed broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.8%,99.9%,100.0%,
United Kingdom,NGA coverage,Total,% of Households,81.8%,88.5%,90.5%,92.1%,94.1%,95.1%,95.7%,97.6%,97.5%,98.0%,98.8%,
United Kingdom,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.5%,21.0%,39.9%,66.2%,74.7%,
United Kingdom,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,DSL,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.7%,99.8%,99.7%,
United Kingdom,VDSL,Total,% of Households,67.9%,78.9%,82.8%,85.0%,88.4%,89.7%,90.2%,94.2%,94.3%,94.2%,94.3%,
United Kingdom,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.3%,16.2%,17.8%,18.2%,18.5%,
United Kingdom,FTTP,Total,% of Households,0.9%,1.4%,1.4%,1.8%,3.0%,3.8%,8.5%,14.5%,23.3%,36.3%,51.6%,
United Kingdom,Cable modem DOCSIS 3.0,Total,% of Households,47.1%,46.8%,46.9%,46.0%,46.4%,50.1%,50.3%,50.3%,50.3%,48.2%,45.9%,
United Kingdom,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,7.9%,23.0%,48.2%,45.9%,
United Kingdom,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0%,4.9%,5.8%,7.4%,7.9%,
United Kingdom,LTE,Total,% of Households,63.0%,84.0%,89.5%,99.5%,99.5%,99.9%,99.9%,99.9%,99.9%,99.9%,#N/A,
United Kingdom,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,92.5%,97.5%,97.8%,98.8%,99.3%,99.3%,#N/A,#N/A,
United Kingdom,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.4%,37.9%,57.2%,80.9%,
United Kingdom,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
United Kingdom,Overall broadband coverage,Total,% of Households,100.0%,100.0%,100.0%,99.9%,99.9%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,48.3%,52.5%,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,Cable modem,Total,% of Households,47.1%,46.8%,46.9%,46.0%,46.4%,50.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,WiMAX,Total,% of Households,4.2%,4.2%,4.2%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
United Kingdom,HSPA,Total,% of Households,98.5%,99.0%,99.0%,99.0%,99.0%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,Land area,Total,km squared,421210725.7%,421210725.7%,421210725.7%,421210825.7%,421210945.7%,421179241.2%,421179241.2%,421179241.2%,421339160.6%,421339160.6%,421218992.0%,
EU27,Population,Total,###,44121131700.0%,44385718900.0%,44304411900.0%,44380079368.4%,44471808600.0%,44510983700.0%,44595641700.0%,44717348900.0%,44627353755.9%,44723724600.0%,44685939200.0%,
EU27,Households,Total,###,18803175102.0%,18993362106.5%,18982097095.0%,19072825795.4%,19126366464.6%,19182220623.1%,19183347522.0%,19187455119.3%,19213945251.4%,19140977089.8%,19258851050.0%,
EU27,Broadband coverage (>2Mbps),Total,% of Households,93.9%,94.4%,94.8%,94.0%,94.1%,94.2%,94.8%,96.6%,#N/A,#N/A,#N/A,
EU27,Broadband coverage (>30Mbps),Total,% of Households,52.2%,59.4%,63.3%,69.3%,74.1%,77.3%,81.1%,85.0%,89.7%,90.8%,93.3%,
EU27,Broadband coverage (>100Mbps),Total,% of Households,39.9%,45.1%,47.2%,50.4%,54.2%,58.3%,70.8%,76.1%,82.0%,85.3%,89.0%,
EU27,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.9%,50.9%,62.3%,69.0%,75.6%,
EU27,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,Fixed broadband coverage,Total,% of Households,95.7%,95.8%,95.9%,96.2%,96.2%,96.2%,96.6%,97.3%,97.8%,97.3%,97.7%,
EU27,NGA coverage,Total,% of Households,58.0%,62.7%,65.9%,71.8%,76.7%,80.2%,84.1%,87.1%,90.0%,91.3%,92.9%,
EU27,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.3%,59.5%,69.8%,73.4%,78.8%,
EU27,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88.1%,Note: EU average is calculated for countries with available data only.
EU27,DSL,Total,% of Households,90.5%,90.2%,90.8%,91.0%,90.8%,90.5%,90.3%,89.9%,89.5%,86.4%,79.7%,
EU27,VDSL,Total,% of Households,25.3%,30.3%,33.4%,41.4%,46.9%,50.1%,53.1%,54.7%,54.6%,54.8%,52.6%,
EU27,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.4%,33.0%,36.8%,35.9%,38.7%,
EU27,FTTP,Total,% of Households,15.5%,19.3%,21.7%,25.0%,29.0%,33.2%,37.7%,42.9%,49.8%,56.4%,64.0%,
EU27,Cable modem DOCSIS 3.0,Total,% of Households,40.0%,41.3%,41.6%,42.1%,42.9%,43.4%,44.8%,44.9%,44.2%,42.0%,41.1%,
EU27,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.3%,27.8%,32.5%,32.1%,33.6%,
EU27,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.4%,51.7%,58.1%,67.9%,68.5%,
EU27,LTE,Total,% of Households,60.3%,80.2%,86.7%,95.5%,97.7%,98.8%,99.3%,99.7%,99.8%,99.8%,#N/A,
EU27,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,84.3%,89.9%,93.7%,96.1%,97.0%,97.5%,#N/A,#N/A,
EU27,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.9%,65.8%,81.3%,89.3%,
EU27,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.5%,50.6%,Now based on all EU member states
EU27,Satellite,Total,% of Households,99.2%,99.3%,99.3%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,
EU27,Overall broadband coverage,Total,% of Households,99.4%,99.2%,99.7%,99.8%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,57.2%,60.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,Cable modem,Total,% of Households,41.6%,42.2%,42.4%,42.8%,43.5%,44.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,WiMAX,Total,% of Households,21.8%,21.7%,21.2%,19.9%,20.1%,20.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU27,HSPA,Total,% of Households,96.9%,97.0%,97.4%,97.8%,97.7%,97.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,Land area,Total,km squared,446062125.7%,446062125.7%,446062125.7%,446062225.7%,446061955.7%,445950829.8%,445950829.8%,445950829.8%,446110749.1%,446110749.1%,445990580.6%,
EU28,Population,Total,###,50446746100.0%,50776248600.0%,50694941600.0%,50844225468.4%,50980462200.0%,51091841000.0%,51176499000.0%,51382060100.0%,51286284361.6%,51421572100.0%,51357425905.7%,
EU28,Households,Total,###,21438848502.0%,21771853280.4%,21760588268.9%,21883324099.7%,21956215855.9%,22300017756.5%,22301144655.3%,22345105159.3%,22133580432.2%,22110915836.5%,22215069125.1%,
EU28,Broadband coverage (>2Mbps),Total,% of Households,94.5%,95.0%,95.3%,94.6%,94.7%,94.9%,95.5%,97.0%,#N/A,#N/A,#N/A,
EU28,Broadband coverage (>30Mbps),Total,% of Households,55.5%,62.8%,66.5%,71.8%,76.4%,79.5%,83.0%,86.4%,90.4%,91.4%,93.8%,
EU28,Broadband coverage (>100Mbps),Total,% of Households,40.8%,45.4%,47.3%,49.8%,53.3%,56.8%,68.8%,73.6%,79.5%,83.2%,87.4%,
EU28,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.3%,46.7%,59.1%,68.7%,75.5%,
EU28,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,Fixed broadband coverage,Total,% of Households,96.2%,96.3%,96.4%,96.7%,96.7%,96.7%,97.1%,97.7%,98.0%,97.6%,98.0%,
EU28,NGA coverage,Total,% of Households,60.9%,66.0%,69.1%,74.4%,79.0%,82.3%,85.7%,88.6%,91.0%,92.2%,93.7%,
EU28,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.5%,54.1%,65.8%,72.4%,78.3%,
EU28,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,DSL,Total,% of Households,91.7%,91.5%,91.9%,92.2%,92.0%,91.9%,91.7%,91.3%,90.9%,88.2%,82.4%,
EU28,VDSL,Total,% of Households,30.5%,36.5%,39.7%,47.0%,52.3%,55.7%,58.3%,60.3%,59.9%,60.1%,58.2%,
EU28,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.9%,30.6%,34.3%,33.5%,36.0%,
EU28,FTTP,Total,% of Households,13.7%,17.0%,19.1%,22.1%,25.7%,29.1%,33.6%,38.9%,46.3%,53.7%,62.4%,
EU28,Cable modem DOCSIS 3.0,Total,% of Households,40.9%,42.0%,42.3%,42.6%,43.3%,44.4%,45.5%,45.7%,45.0%,42.8%,41.7%,
EU28,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19.2%,25.0%,31.2%,34.3%,35.2%,
EU28,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.7%,45.1%,51.2%,59.8%,60.4%,
EU28,LTE,Total,% of Households,60.6%,80.7%,87.1%,96.1%,98.0%,98.9%,99.4%,99.7%,99.8%,99.8%,#N/A,
EU28,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,85.4%,90.9%,94.2%,96.5%,97.3%,97.7%,#N/A,#N/A,
EU28,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.8%,62.1%,78.0%,88.2%,
EU28,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,Satellite,Total,% of Households,99.3%,99.3%,99.4%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,
EU28,Overall broadband coverage,Total,% of Households,99.4%,99.3%,99.7%,99.8%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,56.1%,59.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,Cable modem,Total,% of Households,42.3%,42.8%,43.0%,43.2%,43.9%,45.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,WiMAX,Total,% of Households,19.6%,19.5%,19.1%,17.3%,17.5%,17.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
EU28,HSPA,Total,% of Households,97.1%,97.3%,97.6%,98.0%,97.9%,98.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,Households,Rural,###,52264950%,51213596%,52249128%,52706898%,53208277%,53213246%,50188569%,53472984%,58249600%,58574000%,58899200%,
Austria,Fixed broadband coverage,Rural,% of Rural Households,94.4%,94.7%,94.7%,94.8%,94.8%,98.0%,98.0%,98.0%,95.6%,96.0%,96.2%,
Austria,NGA coverage,Rural,% of Rural Households,20.6%,22.4%,25.9%,28.0%,29.2%,31.6%,34.0%,37.7%,67.7%,74.2%,71.1%,
Austria,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.0%,12.0%,15.7%,27.4%,35.8%,
Austria,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,DSL,Rural,% of Rural Households,88.3%,88.9%,89.1%,89.2%,89.2%,96.4%,96.7%,96.2%,93.7%,93.6%,92.7%,
Austria,VDSL,Rural,% of Rural Households,2.6%,5.4%,7.1%,7.2%,12.0%,13.1%,13.6%,16.3%,43.0%,49.6%,47.8%,
Austria,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5%,4.0%,24.2%,26.1%,27.4%,
Austria,FTTP,Rural,% of Rural Households,2.2%,2.2%,2.1%,5.3%,5.4%,5.9%,10.0%,10.6%,14.9%,22.6%,28.7%,
Austria,Cable modem DOCSIS 3.0,Rural,% of Rural Households,17.2%,17.3%,17.4%,17.9%,19.9%,19.9%,20.4%,21.2%,12.6%,12.8%,13.1%,
Austria,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1%,0.6%,0.9%,6.3%,9.1%,
Austria,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.9%,25.1%,26.2%,27.6%,23.5%,
Austria,LTE,Rural,% of Rural Households,0.3%,4.6%,25.6%,92.6%,92.7%,96.4%,96.6%,99.9%,99.7%,99.6%,#N/A,
Austria,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.5%,36.3%,68.9%,82.0%,
Austria,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.3%,41.5%,
Austria,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Austria,Overall broadband coverage,Rural,% of Rural Households,94.7%,94.8%,94.8%,97.6%,98.0%,99.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,22.9%,23.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,WiMAX,Rural,% of Rural Households,17.9%,18.0%,18.0%,11.6%,10.9%,11.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,Cable modem,Rural,% of Rural Households,17.2%,17.3%,17.4%,17.9%,19.9%,20.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Austria,HSPA,Rural,% of Rural Households,85.2%,85.1%,85.2%,93.4%,93.4%,97.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,Households,Rural,###,21218571%,21107200%,21107200%,20155900%,20153300%,19801510%,20200266%,20534035%,24898500%,24808400%,20836280%,
Belgium,Fixed broadband coverage,Rural,% of Rural Households,99.6%,99.4%,99.4%,98.5%,98.7%,98.7%,99.0%,98.8%,97.7%,99.6%,99.5%,
Belgium,NGA coverage,Rural,% of Rural Households,74.9%,84.0%,86.4%,88.3%,90.4%,92.0%,94.3%,94.7%,91.4%,95.3%,93.6%,
Belgium,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.3%,10.6%,55.1%,62.2%,51.4%,
Belgium,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,DSL,Rural,% of Rural Households,98.9%,98.8%,98.8%,96.9%,97.3%,97.2%,97.8%,97.8%,97.0%,97.8%,97.4%,
Belgium,VDSL,Rural,% of Rural Households,57.8%,69.2%,71.9%,73.4%,77.7%,82.3%,87.3%,87.3%,80.1%,84.6%,84.1%,
Belgium,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.4%,31.3%,31.9%,29.5%,16.4%,
Belgium,FTTP,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.4%,0.7%,1.3%,7.3%,
Belgium,Cable modem DOCSIS 3.0,Rural,% of Rural Households,39.8%,40.4%,40.3%,43.1%,45.2%,45.5%,48.3%,48.5%,54.6%,70.2%,53.9%,
Belgium,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.1%,10.3%,54.6%,61.5%,49.0%,
Belgium,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,94.9%,96.1%,96.9%,
Belgium,LTE,Rural,% of Rural Households,3.9%,28.2%,38.0%,98.6%,99.7%,99.7%,100.0%,100.0%,100.0%,100.0%,#N/A,
Belgium,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,21.2%,28.9%,
Belgium,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.0%,3.8%,
Belgium,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Belgium,Overall broadband coverage,Rural,% of Rural Households,99.6%,99.5%,99.4%,99.8%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,45.2%,44.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Belgium,WiMAX,Rural,% of Rural Households,3.3%,3.3%,3.3%,2.6%,2.4%,2.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
